X.1,Provinsi,Kabupaten/Kota,X.2,IKK,OTG Total,ODP Total,ODP Proses,PDP Total,PDP Proses,PDP MD,SUS T,SUS S,SUS MD,PROB T,PROB S,PROB MD,POS T,POS P,POS S,POS MD,POS IM,Tanggal Update,X.3,Luas Wilayah,Jumlah Penduduk,Penduduk/sq.km,Resolved,RI,"CFR (inc ODP, PDP,SUS,PROB)",Kematian Total per 100.000 Penduduk,Rasio Lacak Isolasi (RLI),Kasus Total per 100rb penduduk,Kasus selesai per 100rb penduduk,Kasus total (inc PDP) per 100rb penduduk,Kasus selesai (inc PDP) per 100rb penduduk,Total,Resolved1,Trace,X.4,IKK1,IKK2,IKK3,Kasus Aktif per 100.000 penduduk,X.5,X.6
9409,Papua,Biak Numfor,Kab. Biak Numfor,14.15,null,null,0,null,0,null,null,null,null,null,null,null,2726,57,2524,145,null,Tanggal,9/2/2021,2602,138790,53,97.91,92.59,5.32,104.47,0,1964.12,1923.05,1964.12,1923.05,102.21,31.01,0.26,0.43,6.15,8,14.15,41.07,0,null
9413,Papua,Boven Digoel,Kab. Boven Digoel,5.71,null,null,289,null,113,null,null,null,null,null,null,null,1583,125,1432,26,null,Tanggal,9/2/2021,27108,62862,2,92.1,90.46,1.64,41.36,0,2518.21,2319.37,2518.21,2499.13,64.31,35.35,0.24,0.41,4.5,1.21,5.71,198.85,0,null
9436,Papua,Deiyai,Kab. Deiyai,0,null,null,0,null,0,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,9/2/2021,537,69290,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null
9434,Papua,Dogiyai,Kab. Dogiyai,0,null,null,0,null,0,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,9/2/2021,4237,92048,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null
9435,Papua,Intan Jaya,Kab. Intan Jaya,0,null,null,0,null,0,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,9/2/2021,3922,45846,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null
9403,Papua,Jayapura,Kab. Jayapura,12.67,null,null,0,null,0,null,null,null,null,null,null,null,3043,306,2622,115,null,Tanggal,9/2/2021,11157,121163,11,89.94,86.16,3.78,94.91,0,2511.49,2258.94,2511.49,2258.94,97.42,33.61,0.27,0.44,3.24,9.44,12.67,252.55,0,null
9471,Papua,Jayapura City,Kota Jayapura,10.14,null,null,0,null,0,null,null,null,null,null,null,null,12764,705,11792,267,null,Tanggal,9/2/2021,936,282766,302,94.48,92.38,2.09,94.42,0,4513.98,4264.66,4513.98,4264.66,97.17,46.18,0.17,0.29,2.43,7.71,10.14,249.32,0,null
9402,Papua,Jayawijaya,Kab. Jayawijaya,3.4,null,null,0,null,0,null,null,null,null,null,null,null,1836,123,1684,29,null,Tanggal,9/2/2021,7031,206133,29,93.3,91.72,1.58,14.07,0,890.69,831.02,890.69,831.02,37.51,20.38,0.08,0.13,3.27,0.12,3.4,59.67,0,null
9420,Papua,Keerom,Kab. Keerom,10.51,null,null,0,null,0,null,null,null,null,null,null,null,607,42,534,31,null,Tanggal,9/2/2021,8390,53612,6,93.08,87.97,5.11,57.82,0,1132.21,1053.87,1132.21,1053.87,76.04,22.96,0.31,0.52,7.16,3.35,10.51,78.34,0,null
9408,Papua,Kepulauan Yapen,Kepulauan Yapen,7.86,null,null,0,null,0,null,null,null,null,null,null,null,1146,13,1095,38,null,Tanggal,9/2/2021,2050,91240,45,98.87,95.55,3.32,41.65,0,1256.03,1241.78,1256.03,1241.78,64.54,24.92,0.2,0.34,3.58,4.28,7.86,14.25,0,null
9430,Papua,Lanny Jaya,Kab. Lanny Jaya,1.34,null,null,0,null,0,null,null,null,null,null,null,null,162,19,140,3,null,Tanggal,9/2/2021,2248,172438,77,88.27,86.42,1.85,1.74,0,93.95,82.93,93.95,82.93,13.19,6.44,0.03,0.05,0.88,0.46,1.34,11.02,0,null
9428,Papua,Mamberamo Raya,Kab. Mamberamo Raya,0,null,null,0,null,0,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,9/2/2021,23814,21301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null
9431,Papua,Mamberamo Tengah,Kab. Mamberamo Tengah,0,null,null,0,null,0,null,null,null,null,null,null,null,4,0,4,0,null,Tanggal,9/2/2021,1275,46198,36,100,100,0,0,0,8.66,8.66,8.66,8.66,0,2.08,0,0,0,0,0,0,0,null
9414,Papua,Mappi,Kab. Mappi,0.73,null,null,166,null,0,null,null,null,null,null,null,null,1693,130,1553,10,null,Tanggal,9/2/2021,24118,91657,4,92.32,91.73,0.59,10.91,0,1847.1,1705.27,1847.1,1705.27,33.03,29.2,0.1,0.17,-0.3,1.03,0.73,141.83,0,null
9401,Papua,Merauke,Kab. Merauke,15.2,null,null,0,null,0,null,null,null,null,null,null,null,3433,281,2921,231,null,Tanggal,9/2/2021,44071,216271,5,91.81,85.09,6.73,106.81,0,1587.36,1457.43,1587.36,1457.43,103.35,26.99,0.21,0.35,6.4,8.8,15.2,129.93,0,null
9412,Papua,Mimika,Kab. Mimika,9.64,null,null,61,null,76,null,null,null,null,null,null,null,9446,503,8758,185,null,Tanggal,9/2/2021,21633,201300,9,94.67,92.72,1.96,91.9,0,4692.5,4442.62,4692.5,4480.38,95.87,47.33,0.2,0.34,6.58,3.06,9.64,249.88,0,null
9404,Papua,Nabire,Kab. Nabire,7.65,null,null,0,null,38,null,null,null,null,null,null,null,764,0,721,43,null,Tanggal,9/2/2021,11113,139921,13,100,94.37,5.63,30.73,0,546.02,546.02,546.02,573.18,55.44,16.93,0.14,0.23,2.36,5.29,7.65,0,0,null
9429,Papua,Nduga,Kab. Nduga,0,null,null,0,null,0,null,null,null,null,null,null,null,0,0,0,0,null,Tanggal,9/2/2021,2168,93862,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null
